op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Sarkandaugava,Ziemeļu 17,2,30.0,3.0,4.0,P. kara,Masonry,Partial amenities,180.0,57.0018786,24.119843
For rent,Ziepniekkalns,Zaļenieku 21,1,34.0,2.0,3.0,Jaun.,Masonry,All amenities,390.0,56.906906000000006,24.09811735
For sale,centrs,Merķeļa 17,2,60.0,2.0,4.0,P. kara,Brick,All amenities,180000.0,56.95159939999999,24.1159776
For sale,Teika,Brīvības gatve 313,3,79.0,2.0,5.0,Specpr.,Brick-Panel,All amenities,81000.0,56.98279245000001,24.19636687544211
For rent,Vecmīlgrāvis,Emmas 28,2,40.0,1.0,5.0,Jaun.,Brick-Panel,All amenities,320.0,57.03179875,24.116664434629
For sale,Vecmīlgrāvis,Emmas 28,2,33.0,4.0,4.0,Renov.,Masonry,All amenities,49000.0,57.03179875,24.116664434629
For sale,centrs,Ģertrūdes 41,4,81.0,2.0,2.0,P. kara,Wood,All amenities,103000.0,56.953930850000006,24.12924227918695
For sale,Vecmīlgrāvis,Emmas 28,2,28.0,1.0,4.0,Renov.,Masonry,All amenities,37000.0,57.03179875,24.116664434629
For rent,Vecrīga,Vaļņu 3,2,43.0,5.0,6.0,Renov.,Brick-Panel,All amenities,520.0,56.9506012,24.1093904
For sale,Jugla,Juglas 23,2,47.0,3.0,5.0,Hrušč.,Panel,All amenities,40500.0,56.98386715,24.24852793688924
For sale,centrs,Valdemāra 69,2,33.0,1.0,5.0,Renov.,Masonry,All amenities,49990.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,2,55.0,2.0,5.0,Renov.,Masonry,All amenities,73990.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,2,37.0,2.0,6.0,Renov.,Masonry,All amenities,87990.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,2,39.0,4.0,5.0,Renov.,Masonry,All amenities,64990.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,1,29.0,1.0,5.0,Renov.,Masonry,All amenities,43990.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,1,22.0,4.0,5.0,Renov.,Masonry,All amenities,41442.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,2,40.0,4.0,6.0,Renov.,Masonry,All amenities,58990.0,56.9620417,24.122443899999997
For rent,centrs,Valdemāra 83,2,49.0,1.0,7.0,Renov.,Brick,All amenities,500.0,56.963435200000006,24.12521242982409
For sale,centrs,Valdemāra 69,2,37.0,2.0,6.0,Renov.,Masonry,All amenities,84990.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,1,26.0,4.0,5.0,Renov.,Masonry,All amenities,49400.0,56.9620417,24.122443899999997
For sale,centrs,Valdemāra 69,2,40.0,2.0,6.0,Renov.,Masonry,All amenities,64990.0,56.9620417,24.122443899999997
For sale,Teika,Raunas 19,4,74.0,5.0,5.0,Specpr.,Brick-Panel,All amenities,86000.0,56.96893685000001,24.17361809738481
For sale,centrs,Maskavas 112,2,39.0,3.0,4.0,P. kara,Brick,All amenities,45000.0,56.8597884,24.3083417
For sale,centrs,Valdemāra 69,1,16.0,2.0,5.0,P. kara,Masonry,All amenities,47000.0,56.9620417,24.122443899999997
For sale,Ziepniekkalns,Vienības g. 87i,3,112.0,2.0,4.0,Jaun.,Masonry,All amenities,142000.0,56.918403000000005,24.0883001
For sale,Ziepniekkalns,Vienības g. 87i,2,85.0,1.0,4.0,Jaun.,Panel,All amenities,115000.0,56.918403000000005,24.0883001
For sale,Purvciems,Braslas 53,3,81.3,6.0,6.0,Jaun.,Panel,All amenities,115000.0,56.95747179999999,24.1669890886796
For sale,Purvciems,Dzelzavas 33,1,32.0,4.0,5.0,LT proj.,Brick-Panel,All amenities,33500.0,56.9601831,24.1809678
For sale,Iļģuciems,Reņģes 7-k2,2,44.6,1.0,5.0,Specpr.,Brick,All amenities,36000.0,56.965796600000004,24.0629937
For sale,Teika,Ropažu 93,1,28.0,1.0,2.0,P. kara,Wood,Partial amenities,22000.0,56.9825039,24.191769304060283
For sale,Iļģuciems,Baltā 19,3,55.0,2.0,5.0,LT proj.,Panel,All amenities,40000.0,56.97070215,24.065018009622392
For sale,Sarkandaugava,Ziemeļu 3,2,52.0,4.0,5.0,Jaun.,Masonry,All amenities,59500.0,57.0025614,24.2835188
For rent,centrs,Skolas 191,1,5.0,1.0,5.0,P. kara,Brick,All amenities,120.0,48.296950200000005,-100.7081938
For sale,centrs,Pērnavas 10,3,80.0,2.0,5.0,Staļina,Brick,All amenities,142000.0,56.964723899999996,24.1477109
For rent,Bolderāja,Gobas 35,2,49.0,2.0,5.0,LT proj.,Brick-Panel,All amenities,250.0,57.0322103,24.05413750223143
For rent,centrs,Elijas 20,1,15.0,3.0,4.0,P. kara,Brick,All amenities,200.0,56.9411476,24.124248100000003
For sale,centrs,Lienes 6a,1,22.0,2.0,2.0,P. kara,Wood,All amenities,15000.0,56.9539286,24.1448758
For sale,Dārzciems,Slāvu 17,2,51.0,6.0,9.0,602.,Panel,All amenities,53000.0,56.9297701,24.17743874434728
For sale,Ķengarags,Prūšu 22,2,45.0,4.0,5.0,Hrušč.,Brick,All amenities,40000.0,56.913476100000004,24.18677075
For rent,Imanta,Jūrmalas g. 113b,4,102.0,2.0,3.0,Jaun.,Panel-Brick,All amenities,800.0,56.9540026,23.989659136165727
For sale,Pļavnieki,Salnas 21,3,72.0,8.0,9.0,Jaun.,Panel,All amenities,125000.0,56.942327,24.23009287799782
For rent,Āgenskalns,Mūkusalas 25,1,35.0,3.0,6.0,Jaun.,Masonry,All amenities,550.0,56.93740390000001,24.10117626311409
For rent,Purvciems,Pūces 45,2,70.0,1.0,9.0,Jaun.,Panel-Brick,All amenities,450.0,56.952728500000006,24.19079871060433
For sale,Pļavnieki,Rencēnu 40,1,27.0,1.0,5.0,Renov.,Panel,All amenities,25000.0,56.922307200000006,24.213116600000003
For sale,Pļavnieki,Ilūkstes 18,2,50.0,3.0,9.0,602.,Panel,All amenities,51000.0,56.938832999999995,24.196218600625073
For sale,Imanta,Dammes 19,2,50.0,2.0,5.0,LT proj.,Panel,All amenities,53000.0,56.96275695,24.011198647972307
For sale,Purvciems,Nīcgales 47,4,91.0,3.0,5.0,103.,Brick-Panel,All amenities,100000.0,56.946133499999995,24.17317489422727
For rent,Pļavnieki,Rudens 5,1,35.0,5.0,9.0,602.,Panel,All amenities,230.0,56.93860365000001,24.19904049984159
For sale,centrs,Skolas 20,3,112.0,2.0,6.0,Renov.,Masonry,All amenities,320000.0,48.296950200000005,-100.7081938
For sale,centrs,Stabu 11,4,89.0,2.0,6.0,Specpr.,Panel-Brick,All amenities,199500.0,56.95926715,24.122760078464154
For sale,Pļavnieki,Pavasara g. 5,4,76.0,6.0,9.0,602.,Panel,All amenities,89000.0,56.9346184,24.1980807
For sale,Čiekurkalns,Tēraudlietuves 10,1,31.0,1.0,2.0,P. kara,Wood,Partial amenities,11900.0,56.98125695,24.151752600620693
For rent,centrs,Vagonu 22,1,30.0,3.0,5.0,Renov.,Brick,All amenities,400.0,56.948633150000006,24.15003220000001
For rent,Imanta,Rigondas g. 7,1,30.0,12.0,12.0,Čehu pr.,Brick-Panel,All amenities,290.0,56.9648157,24.019053399999997
Other,centrs,Kalniņa 1a,1,30.0,4.0,5.0,P. kara,Brick,All amenities,10.0,56.94944785,24.12059855757486
For sale,Sarkandaugava,Sīmaņa 9a,2,32.0,1.0,4.0,P. kara,Masonry,All amenities,19000.0,56.99391265,24.12969898833333
For rent,centrs,Ausekļa 7,2,77.0,3.0,6.0,P. kara,Masonry,All amenities,700.0,56.96104425,24.099655755347374
For sale,Maskavas priekšpilsēta,Maskavas 222b,2,47.0,4.0,9.0,467.,Panel,All amenities,51000.0,56.9239084,24.167405999820772
For sale,Imanta,M. Krūmu 18,2,50.0,8.0,9.0,602.,Panel,All amenities,58000.0,56.961312199999995,24.003968074491876
For rent,centrs,Stabu 70,4,111.3,4.0,5.0,P. kara,Brick,All amenities,560.0,56.952234999999995,24.136603899999997
For rent,Ķengarags,Lokomotīves 48,2,49.0,2.0,5.0,LT proj.,Panel,All amenities,45.0,56.90837855,24.20066605
For sale,Mežaparks,Ezermalas 4,4,75.0,2.0,5.0,Specpr.,Brick,All amenities,57000.0,56.99320475,24.19176237358097
For sale,Āgenskalns,Sabiles 8,3,90.0,2.0,3.0,Jaun.,Masonry,All amenities,144200.0,56.93945279999999,24.0668604
For rent,centrs,Sermuliņu 14,2,50.0,2.0,5.0,Jaun.,Panel,All amenities,550.0,56.97121095,24.10518275
For sale,Jugla,Juglas 47,3,57.0,4.0,5.0,LT proj.,Panel,All amenities,57500.0,56.96646415,24.28968471953864
For sale,Āgenskalns,Nometņu 49,2,48.0,4.0,5.0,P. kara,Masonry,All amenities,62000.0,56.93868670000001,24.072520102653872
For sale,centrs,Lāčplēša 62/66,4,126.0,3.0,5.0,P. kara,Masonry,All amenities,120000.0,56.9468471,24.133767000000002
For sale,centrs,Mastu 6,2,47.0,3.0,5.0,Hrušč.,Brick,All amenities,52900.0,56.97019225,24.100726749259767
For rent,Torņakalns,Jelgavas 62/64,1,22.0,2.0,2.0,P. kara,Wood,Partial amenities,180.0,56.938264100000005,24.0971627
For rent,centrs,Eksporta 4,1,46.0,3.0,5.0,P. kara,Brick,All amenities,400.0,56.956763,24.0954531
For sale,Ķengarags,Maskavas 254/7,2,44.0,1.0,5.0,Hrušč.,Brick-Panel,All amenities,41800.0,56.89458570000001,24.2163422
For sale,Voleri,Daugavgrīvas š. 17,2,43.0,1.0,1.0,Priv. m.,Wood,Without amenities,5500.0,57.0164335,24.062864899999997
For sale,Šampēteris-Pleskodāle,Kalnciema 101,3,62.0,2.0,5.0,Specpr.,Brick,All amenities,63500.0,56.9371252,24.04281398507363
For rent,centrs,Rūpniecības 1,5,155.0,2.0,6.0,Renov.,Masonry,All amenities,2200.0,56.9591583,24.102674114411453
For sale,Ziepniekkalns,Īslīces 3,3,78.0,2.0,9.0,119.,Panel,All amenities,77000.0,56.9004074,24.08374228852173
For sale,Purvciems,Ķeguma 43,1,39.0,4.0,5.0,M. ģim.,Panel,All amenities,37900.0,56.96378645,24.19618744948581
For sale,centrs,Ģertrūdes 31,2,51.0,2.0,5.0,P. kara,Masonry,All amenities,105000.0,56.955527,24.126442773739672
For rent,Šampēteris-Pleskodāle,Šampētera 74,1,50.0,1.0,2.0,Priv. m.,Masonry,All amenities,430.0,56.939465500000004,24.03009322041213
For sale,Dzegužkalns,Tapešu 54,3,59.0,1.0,5.0,LT proj.,Panel,All amenities,49200.0,56.95884165,24.048201947600788
For sale,Imanta,Kurzemes pr. 74,3,54.0,5.0,5.0,LT proj.,Panel,All amenities,60000.0,56.9567829,24.0344957
For sale,Vecrīga,Vāgnera 2,4,118.0,4.0,5.0,Renov.,Masonry,All amenities,596000.0,56.9492915,24.1099745
For sale,centrs,Kazarmu 2a,1,30.0,2.0,5.0,P. kara,Brick,All amenities,42000.0,56.973102100000006,24.1419
For sale,Purvciems,Dzelzavas 38,3,75.0,5.0,12.0,104.,Panel,All amenities,85000.0,56.9583699,24.1789809
For sale,Āgenskalns,Gregora 6,2,36.0,6.0,6.0,LT proj.,Brick-Panel,All amenities,29500.0,56.945795,24.0521562
For sale,centrs,Republikas laukums 3,3,126.0,6.0,6.0,Jaun.,Panel,All amenities,273000.0,56.9552522,24.0999991251943
For sale,Pļavnieki,Lubānas 117-65,2,50.0,9.0,8.0,602.,Panel,All amenities,47000.0,56.9310392,24.188581399999997
For sale,Maskavas priekšpilsēta,Maskavas 55,3,65.0,1.0,5.0,P. kara,Masonry,All amenities,68000.0,56.8597884,24.3083417
For rent,centrs,Bruņinieku 81,1,14.0,3.0,5.0,P. kara,Masonry,All amenities,185.0,56.951915500000005,24.14045271600791
For sale,centrs,Hospitāļu 28,2,62.0,4.0,5.0,P. kara,Brick,All amenities,67500.0,56.97381225,24.13811846547668
For sale,Imanta,Anniņmuižas bulvāris 50,3,61.0,5.0,9.0,602.,Panel,All amenities,53500.0,56.95975045,24.010693067847928
For sale,Ķīpsala,Balasta d. 72,3,131.0,1.0,1.0,Jaun.,Masonry,All amenities,260000.0,56.948934400000006,24.0882804
For sale,centrs,Valdemāra 76,4,96.0,3.0,10.0,Specpr.,Brick,All amenities,130000.0,56.96885245,24.132576039430017
For sale,Vecmīlgrāvis,Stiebru 6,1,28.0,1.0,5.0,LT proj.,Panel,All amenities,31000.0,57.0347818,24.09617185
For sale,centrs,Vāgnera 12,1,20.0,2.0,4.0,Renov.,Masonry,All amenities,72000.0,56.94881585,24.111473859108518
For sale,Pļavnieki,Ulbrokas 22,2,51.0,3.0,9.0,602.,Panel,All amenities,52900.0,56.944072899999995,24.21773921259132
For rent,Teika,Vairoga 32,2,56.0,2.0,3.0,Jaun.,Brick-Panel,All amenities,540.0,56.9690716,24.171649886013512
For sale,Āgenskalns,Raņķa d. 34,3,91.0,6.0,23.0,Jaun.,Masonry,All amenities,199400.0,56.948307400000004,24.080146799999998
For sale,Teika,Āraišu 38,3,90.0,2.0,6.0,Jaun.,Brick-Panel,All amenities,143000.0,56.97268315,24.171289746872873
For sale,Mežciems,Kaivas 29/2,3,105.0,1.0,4.0,Jaun.,Brick-Panel,All amenities,157000.0,56.9541725,24.2443253
For rent,Šampēteris-Pleskodāle,Lielirbes 13,3,89.0,17.0,30.0,Jaun.,Masonry,All amenities,650.0,56.933499600000005,24.0424848
For rent,Ķengarags,Prūšu 4,2,42.0,4.0,5.0,Jaun.,Panel,All amenities,340.0,56.914674700000006,24.181507934641882
For sale,Āgenskalns,Ventspils 45/1,2,47.0,3.0,3.0,Specpr.,Brick,All amenities,65000.0,56.933566500000005,24.0460096
For sale,Jugla,Juglas 37,3,60.0,5.0,5.0,Hrušč.,Panel,All amenities,49000.0,56.96648685,24.2842205
For sale,Čiekurkalns,Gaujas 37,1,31.0,3.0,3.0,P. kara,Masonry,Partial amenities,14700.0,56.98605995,24.16347130118329
For rent,centrs,Republikas laukums 3,2,55.0,5.0,8.0,Jaun.,Brick-Panel,All amenities,49.0,56.9552522,24.0999991251943
For sale,Purvciems,Upeņu 19,4,83.0,5.0,8.0,Jaun.,Panel,All amenities,152800.0,56.9604932,24.192551980315336
For sale,centrs,Baznīcas 45,5,143.0,3.0,5.0,Renov.,Masonry,All amenities,255000.0,56.9599931,24.1244665
For rent,centrs,Brīvības 121-141,3,62.0,3.0,5.0,Staļina,Brick,All amenities,500.0,56.9675034,24.1486457
For sale,Dzegužkalns,Eiženijas 17,5,91.0,3.0,5.0,Jaun.,Panel,All amenities,162100.0,56.956131400000004,24.054124800000004
For rent,centrs,Blaumaņa 5,5,133.0,4.0,4.0,P. kara,Masonry,All amenities,950.0,56.955036899999996,24.122363600000003
For sale,Purvciems,Ainavas 2a,3,82.0,2.0,6.0,Jaun.,Panel-Brick,All amenities,123000.0,56.963819900000004,24.189736084084306
For rent,centrs,Kalēju 74,2,61.0,3.0,6.0,Jaun.,Panel-Brick,All amenities,780.0,56.94545600000001,24.1115799
For rent,centrs,Barona 37,3,81.0,7.0,7.0,P. kara,Masonry,All amenities,850.0,56.954656299999996,24.1272827
For rent,centrs,Palasta 9,3,84.0,4.0,5.0,Renov.,Masonry,All amenities,950.0,56.9478576,24.104286899999998
For rent,Šampēteris-Pleskodāle,Volguntes 40,3,104.0,3.0,4.0,Jaun.,Brick,All amenities,780.0,56.9375738,24.03746545000001
For sale,centrs,Katrīnas d. 17,2,67.0,2.0,6.0,Jaun.,Panel-Brick,All amenities,79900.0,56.9716816,24.1021951
For rent,centrs,Antonijas 14,1,30.0,4.0,8.0,Renov.,Panel,All amenities,380.0,56.9589948,24.113056534960137
For rent,centrs,Antonijas 14,1,26.0,3.0,8.0,Renov.,Panel,All amenities,350.0,56.9589948,24.113056534960137
For sale,centrs,Birznieka-Upīša 6,Citi,195.0,2.0,3.0,P. kara,Wood,All amenities,159000.0,56.94854695,24.124454245892853
For sale,Āgenskalns,Gardenes 9,2,45.0,1.0,5.0,Hrušč.,Brick,All amenities,45300.0,56.9273556,24.07368867474538
For rent,Iļģuciems,Lilijas 8,3,68.0,5.0,5.0,LT proj.,Panel,All amenities,370.0,56.9650304,24.065958525639036
For sale,Sarkandaugava,Aptiekas 11,5,134.0,1.0,3.0,P. kara,Brick,All amenities,40000.0,56.997840000000004,24.119255399999997
For sale,Imanta,Vecumnieku 78,3,99.0,1.0,3.0,Jaun.,Masonry,Without amenities,230000.0,56.956316599999994,24.023412699999998
For sale,Ķengarags,Festivāla 1,2,35.0,3.0,5.0,Hrušč.,Brick,All amenities,37500.0,56.90348845,24.20369795
For sale,Ķengarags,Aglonas 10/3,2,47.0,2.0,5.0,LT proj.,Panel,All amenities,46000.0,56.9137899,24.180044
For sale,Imanta,Anniņmuižas bulvāris 43,3,86.0,5.0,22.0,Jaun.,Panel,All amenities,158000.0,56.95903060000001,24.013887042852996
For rent,Ziepniekkalns,Ziepniekkalna 70,4,138.0,4.0,4.0,Jaun.,Masonry,All amenities,700.0,56.8974581,24.1389382
For sale,centrs,Indrānu 17,2,49.0,2.0,4.0,Renov.,Masonry,All amenities,99000.0,56.968951,24.14488426767712
For rent,Zolitūde,Apuzes 40,3,104.0,3.0,4.0,Jaun.,Brick-Panel,All amenities,780.0,56.93844915,24.02309632130732
For sale,centrs,Tallinas 38,3,75.0,2.0,4.0,P. kara,Masonry,All amenities,95000.0,56.9614077,24.139456133055788
For sale,centrs,Tallinas 86,1,31.0,5.0,5.0,Renov.,Brick,All amenities,60000.0,56.95652115,24.147680900018845
For rent,centrs,Baznīcas 26a,3,104.0,6.0,6.0,P. kara,Brick,All amenities,700.0,56.9585108,24.1228978201078
For sale,Pļavnieki,Ulbrokas 22,2,51.0,2.0,9.0,602.,Panel,All amenities,58000.0,56.944072899999995,24.21773921259132
For rent,centrs,Brīvības 114,2,38.0,2.0,3.0,P. kara,Masonry,All amenities,270.0,56.961977100000006,24.1348346
For sale,Dārzciems,Jaunrozes 9,2,48.0,1.0,3.0,Specpr.,Brick,All amenities,45000.0,56.94596715,24.166201550000004
For sale,Jugla,Silciema 5,2,46.0,1.0,5.0,Hrušč.,Panel,All amenities,41000.0,56.988253500000006,24.237895432886905
For sale,centrs,Valdemāra 11,3,85.0,1.0,5.0,P. kara,Masonry,All amenities,145000.0,56.9557623,24.110802028559608
For sale,Teika,Ūnijas 73,3,92.0,4.0,5.0,Jaun.,Masonry,All amenities,160000.0,56.96436315,24.179150206562195
For rent,Mežciems,Hipokrāta 9,1,47.0,5.0,16.0,104.,Panel,All amenities,270.0,56.96758455,24.238078024789004
For sale,Āgenskalns,Kristapa 20,2,41.0,2.0,5.0,Hrušč.,Brick,All amenities,39999.0,56.94411415,24.06430444884109
For sale,Imanta,Akāciju 2d,2,45.0,2.0,9.0,Jaun.,Panel,All amenities,89999.0,56.95141320000001,24.00387617537462
For sale,Teika,Ieriķu 39,3,56.0,1.0,1.0,LT proj.,Panel,All amenities,59990.0,56.966673899999996,24.18015715
For sale,centrs,Barona 36,4,125.0,4.0,6.0,Renov.,Masonry,All amenities,295000.0,56.9531436,24.1255034
For rent,Āgenskalns,Kuldīgas 13a,2,63.0,4.0,5.0,Specpr.,Brick,All amenities,350.0,56.95251974999999,24.065871344147958
For rent,Purvciems,Ilūkstes 48,2,64.0,2.0,9.0,119.,Panel,All amenities,325.0,56.94943115,24.199122200000005
For sale,Pļavnieki,Tīnūžu 6,1,33.0,2.0,9.0,602.,Panel,All amenities,32000.0,56.9343507,24.20600825
For rent,centrs,Stabu 46,3,85.0,5.0,5.0,P. kara,Masonry,All amenities,400.0,56.9543322,24.1313043698515
For sale,Pļavnieki,Salnas 1,1,33.0,5.0,9.0,467.,Panel,All amenities,34000.0,56.9437576,24.217925052427685
For sale,Ziepniekkalns,Kaplavas 5,2,70.0,4.0,6.0,Jaun.,Masonry,All amenities,97000.0,56.90846935,24.07867741283578
For sale,Ziepniekkalns,Bruknas 12,2,60.0,8.0,9.0,119.,Panel,All amenities,60000.0,56.90217635000001,24.087858148537478
For sale,Teika,Ropažu 12,3,124.0,5.0,9.0,Jaun.,Masonry,All amenities,190000.0,56.97725905,24.16672669992548
For sale,centrs,Brīvības iela 114,3,86.0,6.0,6.0,P. kara,Masonry,All amenities,129000.0,56.961977100000006,24.1348346
For sale,centrs,Barona 24/26,3,53.0,6.0,6.0,Renov.,Masonry,All amenities,133000.0,56.95161295,24.12245714786153
For sale,Pļavnieki,Keldiša 9,3,63.0,3.0,6.0,602.,Panel,All amenities,57000.0,56.94061899999999,24.20180877941775
For sale,centrs,M. Piena 6,2,36.0,2.0,6.0,Jaun.,Masonry,All amenities,55500.0,56.96973635000001,24.10404675
For sale,centrs,Čaka 36,4,84.0,2.0,5.0,P. kara,Brick,All amenities,149810.0,56.952698,24.1299733
For sale,centrs,Čaka 36,2,64.0,3.0,5.0,P. kara,Masonry,All amenities,126400.0,56.952698,24.1299733
For sale,centrs,Maskavas 95,1,31.0,4.0,4.0,P. kara,Masonry,All amenities,18000.0,56.8597884,24.3083417
For sale,Vecmīlgrāvis,Gāles 7,3,77.0,1.0,2.0,P. kara,Wood,Partial amenities,43000.0,57.03017055,24.119021686038
For sale,Ziepniekkalns,Kartupeļu 54,2,48.0,2.0,3.0,Specpr.,Brick,All amenities,48000.0,56.91119550000001,24.10796549019945
For sale,Purvciems,Purvciema 13,3,73.0,5.0,12.0,104.,Panel,All amenities,65000.0,56.95341415,24.1672841
For rent,centrs,Puškina 1,1,18.0,4.0,6.0,Specpr.,Brick,All amenities,120.0,56.94041605,24.119152086186983
For rent,centrs,Stabu 65,2,36.0,4.0,5.0,P. kara,Masonry,All amenities,420.0,56.952926100000006,24.135727499999998
For sale,Purvciems,Nīcgales 4,3,64.0,1.0,9.0,602.,Panel,All amenities,61500.0,56.95855255,24.175316327579107
For sale,Ķengarags,Lokomotīves 54,1,32.0,12.0,12.0,Čehu pr.,Brick-Panel,All amenities,36300.0,56.9075339,24.201989165887152
For rent,centrs,Stabu 61,3,85.0,5.0,5.0,P. kara,Brick,All amenities,620.0,56.95331089999999,24.1349288
For sale,Purvciems,Dzelzavas 15,3,53.0,2.0,5.0,Hrušč.,Brick,All amenities,65000.0,56.963066000000005,24.17059653178381
For sale,Šampēteris-Pleskodāle,Irlavas 20,3,122.0,6.0,6.0,103.,Brick-Panel,All amenities,115000.0,56.939423100000006,24.035948911819354
For rent,centrs,Lāčplēša 7,3,81.0,2.0,5.0,Renov.,Masonry,All amenities,995.0,56.957715,24.119110963478683
For sale,Iļģuciems,Tvaikoņu 2,2,40.0,2.0,3.0,P. kara,Masonry,All amenities,43500.0,56.9650552,24.07269998854186
For sale,Sarkandaugava,Sarkandaugavas 26,2,41.0,3.0,5.0,Hrušč.,Brick,All amenities,37000.0,57.0021488,24.1248028
For sale,Ziepniekkalns,Līvciema 5,4,76.0,2.0,9.0,602.,Brick-Panel,All amenities,83000.0,56.90191239999999,24.1024598
For sale,Vecmīlgrāvis,Edžiņa g. 7,3,56.0,2.0,5.0,LT proj.,Panel,All amenities,37000.0,57.031674800000005,24.1063938
For sale,Iļģuciems,Saulgožu 4,2,52.0,5.0,5.0,LT proj.,Panel,All amenities,49980.0,56.96270215,24.0470370750532
For rent,centrs,Avotu 43,1,25.0,3.0,3.0,P. kara,Masonry,All amenities,23.0,56.9520789,24.1379656
For rent,Zasulauks,Kalnciema 88,2,53.0,2.0,2.0,Priv. m.,Wood,All amenities,220.0,56.9453372,24.073176500000002
For rent,centrs,Bruņinieku 111,1,16.0,1.0,4.0,Renov.,Brick,All amenities,150.0,56.9502926,24.143564917498058
For rent,Šampēteris-Pleskodāle,Kalnciema 114,1,10.0,5.0,5.0,103.,Brick-Panel,All amenities,130.0,56.935924899999996,24.042092050463896
For rent,Āgenskalns,Nometņu 62,1,23.0,1.0,1.0,Priv. m.,Wood,All amenities,260.0,56.9366902,24.071333988939127
For rent,centrs,Čaka 117/1,3,68.0,2.0,6.0,Renov.,Masonry,All amenities,480.0,56.9626863,24.148058399999996
For rent,Sarkandaugava,Viestura pr. 53,2,48.0,6.0,9.0,LT proj.,Brick-Panel,All amenities,320.0,56.998436600000005,24.1328951
For sale,Torņakalns,Robežu 24,1,22.0,2.0,2.0,P. kara,Wood,All amenities,17750.0,56.92093585,24.082654899735907
For sale,Iļģuciems,Buļļu 52,1,34.0,2.0,3.0,P. kara,Brick,Partial amenities,18700.0,56.96992710000001,24.045403262188014
For sale,Purvciems,Stirnu 47,3,60.0,1.0,5.0,LT proj.,Panel,All amenities,58000.0,56.96285935,24.18951307567781
For rent,centrs,Jeruzalemes 5,2,60.0,2.0,6.0,Renov.,Panel-Brick,All amenities,60.0,56.9579333,24.113967000000002
For sale,Zolitūde,Lejiņa 3,4,90.0,2.0,9.0,119.,Panel,All amenities,105000.0,56.94716445,24.014437186495236
For sale,Zolitūde,Lejiņa 3,4,89.0,2.0,9.0,119.,Panel,All amenities,92000.0,56.94716445,24.014437186495236
For sale,Iļģuciems,Lilijas 22,3,84.0,2.0,4.0,Jaun.,Brick-Panel,All amenities,150000.0,56.96504035,24.06178179173675
For sale,centrs,Valdemāra 121,3,46.0,1.0,5.0,P. kara,Brick,All amenities,60000.0,56.966835100000004,24.129754777981177
For sale,Šķirotava,Šķirotavas 2a,1,27.0,3.0,5.0,Specpr.,Brick,All amenities,24900.0,56.90657655,24.220351874266857
For sale,Ziepniekkalns,Valdeķu 54,1,32.0,6.0,9.0,602.,Panel,All amenities,38500.0,56.9094064,24.0954157
For sale,Jugla,Kvēles 23,2,46.0,3.0,5.0,Hrušč.,Panel,All amenities,38000.0,56.982643200000005,24.245178092083048
For rent,Zolitūde,Bieziņa 4,2,58.0,9.0,10.0,119.,Panel,All amenities,330.0,56.9446833,24.020387444451426
For sale,Mangaļi,Mores 3,2,44.0,1.0,5.0,LT proj.,Panel,All amenities,36500.0,57.0188111,24.13501185
For rent,Pļavnieki,Dzeņu 10,3,63.0,9.0,9.0,602.,Panel,All amenities,350.0,56.9399951,24.211517184958648
For rent,Purvciems,Dudajeva g. 10,2,40.0,1.0,5.0,LT proj.,Panel-Brick,All amenities,300.0,56.9570069,24.198736800000002
For sale,centrs,Marijas 16,3,89.0,6.0,7.0,Renov.,Brick,All amenities,169000.0,56.9505796,24.1255938
For rent,centrs,Alūksnes 3,1,20.0,4.0,5.0,Renov.,Masonry,All amenities,330.0,56.9695576,24.099363699999998
For sale,Mangaļi,Lēdurgas 10,1,23.0,2.0,2.0,P. kara,Wood,All amenities,13700.0,57.020006499999994,24.12707056441718
For sale,Dārzciems,Zeltiņu 11,2,46.0,3.0,5.0,103.,Brick-Panel,All amenities,45700.0,56.9482182,24.168458596614
For sale,Iļģuciems,Lidoņu 16,2,43.0,1.0,2.0,Staļina,Masonry,All amenities,44200.0,56.97098035,24.0600793116165
For rent,Ziepniekkalns,Ozolciema 16,1,40.0,1.0,7.0,119.,Panel,All amenities,250.0,56.9008066,24.0862562
For rent,Teika,Vairoga 32,3,47.0,3.0,3.0,Jaun.,Masonry,All amenities,540.0,56.9690716,24.171649886013512
For sale,Sarkandaugava,Ozolu 5,1,38.0,5.0,5.0,Specpr.,Brick,All amenities,28880.0,56.986689500000004,24.136366430006863
For sale,Mežciems,Druvienas 32,2,49.0,5.0,5.0,LT proj.,Panel,All amenities,44500.0,56.97034375,24.231483384936706
For sale,Ķengarags,Salaspils 12,3,61.0,3.0,5.0,LT proj.,Panel,All amenities,46900.0,56.8597884,24.3083417
For rent,Torņakalns,Vienības g. 42,1,22.0,1.0,5.0,Staļina,Masonry,All amenities,250.0,56.9325267,24.0934535
