op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Purvciems,Marsa g. 12,1,26.0,3.0,5.0,LT proj.,Panel,All amenities,240.0,56.95183839999999,24.1999196
For sale,Iļģuciems,Grīvas 11,3,55.0,3.0,5.0,Hrušč.,Brick,All amenities,63000.0,56.9654887,24.04998795
For sale,Sarkandaugava,Sarkandaugavas 11,2,50.0,6.0,9.0,602.,Panel,All amenities,47000.0,56.99898215,24.12328767499813
For sale,Imanta,Jūrmalas g. 99,3,63.0,5.0,9.0,602.,Panel,All amenities,50000.0,56.952975,24.016697100000002
For sale,Ziepniekkalns,Ozolciema 32/3,2,50.0,1.0,9.0,602.,Panel,All amenities,49000.0,56.899030700000004,24.078598899999996
For rent,centrs,Grostonas 17,3,88.0,7.0,8.0,Jaun.,Masonry,All amenities,890.0,56.96998705,24.12421088272788
For rent,centrs,Ģertrūdes 84,2,53.0,3.0,6.0,P. kara,Masonry,All amenities,350.0,56.9471865,24.1411337
For sale,Berģi,Berģu 9,3,58.0,1.0,4.0,Hrušč.,Brick,Partial amenities,60000.0,56.99786715000001,24.277341526994306
For sale,Bolderāja,Silikātu 1k2,2,44.0,1.0,3.0,Hrušč.,Brick,All amenities,35400.0,57.027267099999996,24.0389108
For sale,Ziepniekkalns,Staburaga 3,2,48.0,3.0,3.0,Hrušč.,Brick,All amenities,65000.0,56.91116745,24.11631975
For rent,Krasta r-ns,Maskavas 237,1,30.0,5.0,5.0,Hrušč.,Brick,All amenities,260.0,56.9275041,24.167067392822734
For sale,Ķengarags,Maskavas 279,3,55.0,5.0,5.0,LT proj.,Brick,All amenities,43000.0,56.91925545,24.173829491186872
For sale,Purvciems,Madonas 19,1,46.0,6.0,9.0,119.,Panel,All amenities,43500.0,56.96043465,24.17048602078153
For rent,Imanta,Anniņmuižas bulvāris 43,2,45.0,9.0,24.0,Jaun.,Brick-Panel,All amenities,50.0,56.95903060000001,24.013887042852996
For rent,Dzegužkalns,Dzirciema 33,3,61.0,4.0,5.0,LT proj.,Panel,All amenities,340.0,56.95621729999999,24.05205275
For rent,Pļavnieki,Zemes 9,1,36.0,1.0,9.0,M. ģim.,Panel,All amenities,240.0,56.94229549999999,24.19988595647548
For sale,Purvciems,Brantkalna 12,3,76.0,8.0,9.0,119.,Panel,All amenities,88000.0,56.949164399999994,24.1939752
For sale,Purvciems,Nīcgales 36,3,82.0,4.0,5.0,Jaun.,Masonry,All amenities,98000.0,56.950588399999994,24.173423899999996
For rent,Pļavnieki,Ilūkstes 55,1,24.0,2.0,1.0,Priv. m.,Masonry,All amenities,220.0,56.940384200000004,24.19460057334529
For rent,Ziepniekkalns,Valdeķu 53,2,55.0,1.0,9.0,119.,Panel,All amenities,330.0,56.90154795,24.092467407342486
For sale,Šķirotava,Krustpils 75,2,49.0,3.0,3.0,Specpr.,Brick,All amenities,35000.0,56.91205765,24.206367299999997
For sale,Dārzciems,Lubānas 56,3,61.0,7.0,9.0,467.,Panel,All amenities,59500.0,56.93144315,24.175756900229654
For rent,Zolitūde,Ruses 3,2,58.0,2.0,9.0,119.,Panel,All amenities,260.0,56.9484028,24.00206886443955
For rent,centrs,Elizabetes 10c,1,45.0,1.0,3.0,Jaun.,Masonry,All amenities,400.0,56.95752295,24.11061548424572
For rent,Ziepniekkalns,Graudu 30,1,36.0,1.0,2.0,Renov.,Masonry,All amenities,250.0,56.908559499999996,24.097881389203877
For rent,centrs,Eksporta 8,5,150.0,1.0,2.0,Jaun.,Masonry,All amenities,1700.0,56.956763,24.0954531
For rent,Vecmīlgrāvis,Emmas 19,2,48.0,4.0,5.0,LT proj.,Panel,All amenities,220.0,57.03004010000001,24.111049444536533
For rent,Grīziņkalns,Terēzes 2,1,30.0,1.0,3.0,Staļina,Masonry,All amenities,270.0,56.962474300000004,24.14928920430005
For sale,Ziepniekkalns,Valdeķu 54,3,62.0,8.0,9.0,602.,Panel,All amenities,75000.0,56.9094064,24.0954157
For sale,Pļavnieki,Dravnieku 13,3,64.0,7.0,9.0,602.,Panel,All amenities,59000.0,56.94404435,24.21522315
For sale,Ķengarags,Maskavas 260,2,47.0,4.0,5.0,LT proj.,Panel,All amenities,41000.0,56.8597884,24.3083417
For rent,Daugavgrīva,Zvīņu 6,1,28.0,3.0,5.0,LT proj.,Brick,All amenities,220.0,57.037465399999995,24.0247952
For sale,centrs,Valdemāra 89,3,104.0,5.0,5.0,P. kara,Masonry,All amenities,130000.0,56.96383885,24.125864667915483
For sale,Sarkandaugava,Limbažu 4/1,2,45.6,5.0,5.0,Hrušč.,Panel,All amenities,51500.0,57.000435499999995,24.120734699999996
For sale,Imanta,Dumbrāja 18,3,68.0,3.0,4.0,Jaun.,Panel,All amenities,110000.0,56.95698695,24.0186127580713
For rent,Purvciems,Vējavas 12,1,39.0,4.0,5.0,M. ģim.,Brick-Panel,All amenities,230.0,56.95697915,24.169464661675494
For sale,centrs,Čaka 33,2,47.0,6.0,7.0,Renov.,Masonry,All amenities,95000.0,56.9521436,24.1276865
For sale,Purvciems,Purvciema 26,3,79.0,9.0,9.0,119.,Panel,All amenities,71000.0,56.95343085,24.173465900000004
For rent,Ziepniekkalns,Ozolciema 32,2,50.0,8.0,9.0,602.,Panel,All amenities,270.0,56.89979805,24.098350150000005
For sale,Teika,Vidrižu 4,4,95.0,1.0,9.0,Specpr.,Brick-Panel,All amenities,85000.0,56.978867099999995,24.1774824079002
For rent,Ziepniekkalns,Vadakstes 1,2,47.0,1.0,1.0,Priv. m.,Masonry,All amenities,450.0,56.9135113,24.094025
For sale,Dzegužkalns,Jaunsaules 18,2,48.0,2.0,5.0,LT proj.,Panel,All amenities,42000.0,56.95476665,24.04792874999999
For rent,Pļavnieki,Ilūkstes 39,1,40.0,3.0,5.0,Specpr.,Brick-Panel,All amenities,300.0,56.93801605,24.19441854108878
For rent,centrs,Grostonas 17,3,88.0,7.0,7.0,Jaun.,Brick-Panel,All amenities,990.0,56.96998705,24.12421088272788
For rent,centrs,Brīvības 115,1,28.0,2.0,3.0,P. kara,Masonry,All amenities,220.0,56.96296630000001,24.13562495000001
For rent,centrs,Sapieru 3b,1,21.0,3.0,5.0,Jaun.,Panel,All amenities,340.0,56.96305770000001,24.1531056
